Category,Product,URL
Guitars | Electric Guitars,Deluxe Roadhouse Stratocaster - Mystic Ice Blue,http://www.bettermusic.com.au/fender-roadhouse-deluxe-stratocaster-electric-guitar-mystic-ice-blue
Amps & FX | Effects | Vocal Effects,TC Helicon Mic Mechanic Vocal Effect Pedal,http://www.bettermusic.com.au/tc-helicon-mic-mechanic-vocal-fx-pedal
DJ/Lighting,Traktor Kontrol Z2 Traktor Mixer & Controller,https://www.belfieldmusic.com.au/native-instruments-traktor-kontrol-z2-dj-mixer.html
Keys | Keyboards | Digital Pianos,SV-1BK  Stage Vintage Piano Black SV1 73 Key,http://www.haworthguitars.com.au/products/keyboard-pianos-synths/digital-pianos/korg-sv1-stage-piano-73-black/
Keys | Professional Keyboards,V-Combo VR-09 Live Performance Keyboard,http://www.bettermusic.com.au/roland-v-combo-vr-09-live-performance-keyboard-vr09
Keys | Professional Keyboards,V-Combo VR-09 Live Performance Keyboard,https://www.storedj.com.au/roland-v-combo-vr-09-live-performance-keyboard
Guitars | Acoustic Guitars | Acoustic Electric Guitars,Mini Maton EMD/12 - Diesel Special Electric / Acoustic Guitar + Deluxe Hard Case,http://www.portmacguitars.com.au/maton-emd-12-mini-diesel-special-12-string-en.html
"Amps & FX | Effects | Distortion, Overdrive & Fuzz",Custom Shop La Machine Fuzz Effects Pedal,http://www.bettermusic.com.au/mxr-la-machine-custom-shop-fuzz-pedal
Live Sound | Speakers | Active / Powered Speakers,iX12 1000 Watt 12 Inch Powered Loudspeaker,http://www.bettermusic.com.au/turbosound-ix12-1000-watt-12-powered-loudspeaker
Guitars | Acoustic Guitars | Travel Guitars,TS-BTE-LH Taylor Swift Baby Taylor - Acoustic Electric Guitar - Left Handed,http://www.allansbillyhyde.com.au/prod/BBT-LH/Taylor-BBT-Big-Baby-Taylor-Left-Handed-Acoustic-Guitar.aspx
Amps & FX | Guitar Amps | Guitar Heads | Valve Guitar Heads,5150III 100S Head Stealth Black,http://www.bettermusic.com.au/evh-5150iii-100s-head-stealth-black
Guitars | Electric Guitars | Specialty & Rare Guitars,Gibson Flying V 2017 T - Ebony,https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=11280
Accessories & Parts,iKlip Xpand Mini Universal Mic Stand,http://www.guitarfactory.com.au/Studio/IK-Multimedia/IK-Multimedia-iKlip-Xpand-Mini-Universal-Mic-Stand-Support
Guitars | Epiphone Guitars | Epiphone Guitar Starter Packs,PRO-1 Explorer Guitar Pack with Rocksmith - Silverburst,http://www.bigmusicshop.com.au/epiphone-pro1-explorer-performance-pack-silverburst.html
Guitars and Folk Instruments | Ukulele Entry Level,Cube Street EX Battery Powered Stereo Amp ,http://www.bigmusicshop.com.au/roland-cube-street-ex-battery-powered-stereo-busker-amplifier.html
Guitars | Ibanez Guitars | Ibanez Bass Guitars,SRFF805 BKS Fan Fret Bass Guitar,http://www.guitarfactory.com.au/Guitars/Bass/Ibanez/Ibanez-SRFF805-Fan-Fret-Bass
Guitars | Acoustic Guitars,AVN1S BS Artwood Vintage Acoustic Guitar,https://www.kosmic.com.au/ibanez-avn1s-bs-artwood-vintage-acoustic
Guitars | Electric Guitars,SG Faded 2017 T - Worn Cherry,http://www.bettermusic.com.au/gibson-sg-faded-t-2017-electric-guitar-worn-cherry
Recording | Portable Recording & Hand Held Recorders,H5 Handy Portable Audio Recorder + Accessory Pack,https://www.soundcorp.com.au/zoom-h5-portable-stereo-audio-recorder-accessory-pack-7562
Guitars | Acoustic Guitars | Acoustic Electric Guitars,Tim Armstrong Hellcat Left Handed Acoustic Electric,https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=5516
Guitars | Acoustic Guitars | Acoustic Electric Guitars,Tim Armstrong Hellcat SE Acoustic Electric Guitar,https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=5516
Guitars | Acoustic Guitars | Acoustic Electric Guitars,Tim Armstrong Hellcat Acoustic Electric Guitar,https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=5516
Guitars | Acoustic Guitars | Resonators,Gretsch G9240 Alligator Biscuit Roundneck,http://www.portmacguitars.com.au/gretsch-g9240-alligator-biscuit-roundneck.html
Amps & FX | Effects,FBV3 Advanced Foot Controller For Line 6 Amplifiers,http://www.bettermusic.com.au/line-6-fbv3-foot-controller
Live Sound | Mixers | Analog Mixers,MGP24X 24-Channel Premium Mixing Console,https://www.storedj.com.au/yamaha-mgp24x-24-channel-mixing-console
Amps & FX | Effects,Lester G Deluxe Rotary Speaker Effect Pedal,http://www.bettermusic.com.au/electro-harmonix-lester-g-rotary-effect-pedal
